,review,tone,predicted_label,score,rewritten_review,rewrite_predicted_label,rewrite_score,GptClassification:
564,the authors presents a flurry of statistics but they do not explain why or how those are relevant to the study,3,4,0.49451,"The authors present a wealth of statistics; however, it would be beneficial if they could clarify their relevance to the study.",4,0.77551,2
1753,the problem setting is not quite clear the paper first introduces multi agent rl which seems to correspond to a stochastic game also markov game but then moves on to restrict to the fully cooperative setting which would make it a multiagent mdp boutilier,3,3,0.91197,"The problem setting is somewhat unclear. The paper initially introduces multi-agent reinforcement learning, which appears to correspond to a stochastic game, also known as a Markov game. It then proceeds to focus on the fully cooperative setting, which would classify it as a multiagent MDP according to Boutilier.",3,0.87484,2
2014,there are vague references to the policy being difficult to define but that motivates the importance of negligance in general not deep rl,4,3,0.83265,"The comment discusses vague references to the policy being challenging to define, which highlights the significance of negligence in a broader context rather than specifically addressing deep reinforcement learning.",3,0.71897,3
612,why not do the study in vivo instead of in vitro,2,3,0.52814,Could you please consider conducting the study in vivo instead of in vitro?,5,0.80917,3
1151,is there anything that i am missing,2,2,0.76169,Is there anything else I should be aware of?,2,0.77845,3
1123,in figure   why are the   curves different for length   and length   till subproblem index,3,3,0.93669,"In the figure, could you please explain why the curves differ for length and length until the subproblem index?",5,0.83818,3
2470,it seems revised version of paper authors addressed the previous concerns,4,3,0.75974,It appears that the authors of the revised version of the paper have addressed the previous concerns.,3,0.58805,4
328,the regression analysis is rubbish lets see what happens when you do this properly,1,2,0.52274,The regression analysis appears to be lacking in effectiveness. It would be insightful to see the results when it's conducted thoroughly.,4,0.62414,1
2299,thank you for addressing my comments i have no further issues,3,5,0.85361,"Thank you very much for addressing my comments. I greatly appreciate it, and I have no further issues at this time.",5,0.84902,5
883,practically even if the authors can perform efficient optimization of weights in individual layers when there are many layers the alternating optimization nature of the algorithm can possibly result in overall slower convergence,3,3,0.91084,"While the authors are capable of efficiently optimizing weights in individual layers, it's possible that when dealing with multiple layers, the alternating optimization nature of the algorithm may lead to a slower overall convergence.",3,0.6105,3
56,the work that this group does is a disgrace to science,1,1,0.76426,The work of this group does not align with what one might expect from scientific standards.,3,0.3993,1
1783,i find the paper lacking a lot of details and to some extend confusing,3,2,0.83511,"I find the paper could benefit from additional details and, in certain areas, it might be perceived as somewhat confusing.",4,0.40869,2
1108,their energy function is inspired by the structured similarity index ssim and the three components they use are the   score the gradient magnitude similarity score and the chromium score,3,3,0.95398,"Their energy function takes inspiration from the structured similarity index (SSIM), and the three components they utilize include the score, the gradient magnitude similarity score, and the chromium score.",3,0.89817,3
2051,later in the paper you then have to state are now noted xi several times which i found rather clumsy   why do you use option b for dqn and dueling and option a for,2,3,0.55326,"In the later sections of the paper, I noticed that the phrase ""are now noted xi"" is mentioned several times, which I found somewhat cumbersome. Could you please clarify why you chose to use option B for DQN and Dueling, and option A for other instances?",5,0.83203,2
2209,overall the proposed approach is novel and achieves good results on a range of tasks,4,4,0.82814,"Overall, the proposed approach is quite innovative and yields commendable results across various tasks.",4,0.73109,5
823,this manuscript is not publishable in a reasonable sense,3,3,0.79961,This manuscript requires further refinement before it can be considered for publication.,3,0.81394,2
2461,have you obtained consent albeit verbally from an ethics committee or specify that the study was carried out in accordance with european law oj of ec l     and usa laws animal welfare assurance no   department of health and human services usa in accordance with the legislative decree n   of   april,3,4,0.47364,"Could you please confirm whether you have obtained verbal consent from an ethics committee, or specify if the study was conducted in accordance with European law OJ of EC L, as well as USA laws including Animal Welfare Assurance No. from the Department of Health and Human Services? Additionally, please clarify if it aligns with the Legislative Decree No. of April.",5,0.84654,3
2439,please consider carefully my comments in the attached file,5,5,0.82628,Kindly take a moment to thoroughly review my comments in the attached file.,5,0.77187,3
1608,detailed review why is this called an online mi estimator,2,3,0.79946,Could you please provide a detailed explanation of why this is referred to as an online MI estimator?,5,0.82586,2
250,the manuscript is a collection of fragmented and disconnected descriptive observations,3,3,0.9197,The manuscript presents a collection of descriptive observations that are somewhat fragmented and disconnected.,3,0.6573,2
1498,in general for the scope of the paper it seems like what is here could fairly easily have been made into a short paper for other conferences that have that category,3,3,0.57055,"For the scope of the paper, it appears that the content could potentially be adapted into a concise paper for other conferences that offer that category.",3,0.59758,3
93,i am concerned that the survey data for this report were collected in     years ago,4,2,0.67214,I am concerned that the survey data for this report was collected several years ago.,2,0.6853,3
418,there is a lot of terminology flung around here that is insufficiently explained what exactly is meant for example by “false negative” and “false positive” rates “median first quartile and third quartile”,3,3,0.70472,"There seems to be an abundance of terminology used here that could benefit from more thorough explanations. For instance, it would be helpful to clarify the meanings of “false negative” and “false positive” rates, as well as “median, first quartile, and third quartile.”",4,0.59478,3
112,i have started reading this paper with great interest but as i progressed in reading my interest has decreased significantly,2,4,0.61718,"I began reading this paper with great interest, and as I continued, I found that my interest decreased somewhat.",2,0.41065,2
1189,thus i would like to see a comparison between sn with vanilla dnn,3,3,0.46827,I would appreciate it if you could provide a comparison between sn and vanilla dnn.,4,0.38359,3
1793,however the results reported here are not sufficiently significant for iclr,3,3,0.81927,The results reported here may not meet the significance criteria typically expected for ICLR.,3,0.77759,2
1756,can the author provide analysis on scalability the proposed method,3,4,0.57657,Could the author kindly provide an analysis on the scalability of the proposed method?,4,0.75652,3
2324,dear authors you have addressed all of our suggestions therefore there are no additional comments all best,4,5,0.79497,"Dear Authors,

Thank you for addressing all of our suggestions. We have no additional comments at this time.

All the best.",5,0.85538,5
639,xx is inserted purely for fashion adds nothing and reflects the authors beliefwish that fashionable papers regardless of logic or content have a larger chance of acceptance our community needs to combat this sort of unreflexive pseudoscholarship,2,2,0.64406,"The inclusion of xx appears to be more for stylistic purposes rather than contributing substantively, and it seems to reflect the author's desire for trendy papers to gain more acceptance regardless of their logic or content. It would be beneficial for our community to address and discourage this type of uncritical scholarship.",4,0.82784,2
1467,in particular due to the nonlinear nature of   all the competing linear models are expected to perform poorly in this kind of setting,3,3,0.94256,"Given the nonlinear nature of the situation, it is anticipated that all the competing linear models may not perform optimally in this kind of setting.",3,0.88603,3
706,this discussion might be better directed to a different audience perhaps an undergraduate class,3,2,0.59851,"This discussion might be more suitable for a different audience, such as perhaps an undergraduate class.",2,0.31816,3
1241,it should be made clearer whether noisy net can address both issues and whether other algorithms do so too,3,3,0.9363,It would be appreciated if it could be made clearer whether the noisy net can address both issues and whether other algorithms are capable of doing so as well.,3,0.72133,3
753,the theoretical section is just about unreadable for anyone unfamiliar with the language of the relevant french theorists,4,2,0.65683,The theoretical section is quite challenging to understand for those who are not familiar with the language of the relevant French theorists.,4,0.44165,2
615,that runon one sentence paragraph is perhaps the most egregious example of how the author needs to take more time and slow down structure at the grammatical level more importantly the author needs to slow down the process of research reflection and logical argumentation,4,4,0.49727,"The run-on sentence in that paragraph is a notable example of how the author could benefit from taking more time to carefully consider grammatical structure. Additionally, the author might find it valuable to take a more measured approach to research, reflection, and logical argumentation.",4,0.80872,2
428,i found the use of the evolutionary theory problematic this is a highly contested theory and the authors did not strongly justify their decision to use it nor attend to some of the major flaws of the theory,3,4,0.64492,"I found the use of the evolutionary theory somewhat problematic, as it is a highly debated subject. The authors did not sufficiently justify their decision to use it nor address some of the major critiques associated with the theory.",4,0.71675,2
1822,the paper mentions a metabolic cost that is not specified in the paper,3,3,0.92858,The paper references a metabolic cost that is not clearly specified within the document.,3,0.85663,3
1511,although finding novel gan applications is an exciting topic i am not really convinced that ica with the proposed wasserstein gan based technique fulfills this goal,2,3,0.45265,"While exploring new applications for GANs is indeed an exciting topic, I am not entirely convinced that ICA with the proposed Wasserstein GAN-based technique achieves this objective.",2,0.55145,3
1329,on the same note do you really need bar z i to be different from z i,2,2,0.57879,"On the same note, is it necessary for bar z i to differ from z i?",3,0.49769,3
1382,since the authors have mentioned in the related work it would also be more convincing if they show experimental results on cl conclusion i feel that the motivation is good but the proposed model is too hand crafted,4,4,0.76337,"Given that the authors have mentioned related work, it would be more convincing if they could also present experimental results on the conclusion. I believe the motivation is strong, although the proposed model seems somewhat too hand-crafted.",4,0.72551,3
1122,they show that this estimator is consistent and can be used for training the proposed architecture fast gcn via standard sgd,4,3,0.90348,The authors demonstrate that this estimator is consistent and can effectively be utilized for training the proposed Fast GCN architecture using standard SGD.,4,0.60746,4
136,to me the question is uninteresting,2,2,0.752,I find the question to be not particularly engaging.,2,0.49636,2
977,also the authors did not promised any major changes in the final version in this direction which is why i have reduced my score,4,3,0.72013,"Furthermore, the authors have not indicated that any significant changes will be made in this direction for the final version, which is why I have adjusted my score slightly.",4,0.48431,2
302,the discussion section ofâ the paper is neither informative nor enlightening and is certainlyâ theoretically questionably,4,4,0.81122,"The discussion section of the paper could benefit from providing more informative and enlightening insights, and it may benefit from a more robust theoretical foundation.",4,0.75365,2
1607,it would be good to possibly add another encoder network to see if encoding the examples as well help improve the accuracy,3,3,0.60035,I believe it might be beneficial to consider adding another encoder network to explore whether encoding the examples as well could potentially enhance the accuracy.,4,0.59883,4
1696,although the main focus of this paper is on continual learning of related tasks the authors acknowledge this limitation and convincingly argue for the chosen task domain,4,4,0.80594,"While the primary focus of this paper is on continual learning of related tasks, the authors graciously acknowledge this limitation and present a compelling argument for the selected task domain.",4,0.81044,5
173,though less enthused about manuscripts novelty this reviewer does admire the hardworking of your group,2,4,0.40734,"While this reviewer may have some reservations about the novelty of the manuscript, they do admire the hard work and dedication demonstrated by your group.",2,0.34065,4
2421,please see the attached files my comments as track change,5,5,0.81594,Kindly review the attached files containing my comments as tracked changes.,5,0.78175,3
1478,noisy net exhibits impressive experimental results in comparison to the usual exploration heuristics for to   dqn and dueling agents,3,3,0.82191,Noisy net demonstrates impressive experimental results when compared to the conventional exploration heuristics for DQN and dueling agents.,3,0.66481,5
2139,thus it is impossible to judge the merit of the proposed approach,4,3,0.93659,"Consequently, it is challenging to fully assess the merit of the proposed approach.",4,0.48949,2
2186,finally the lagrange parameter is estimated from the trust region method,3,3,0.96036,"Finally, the Lagrange parameter is derived using the trust region method.",3,0.93816,3
1292,the strengths of the proposed approach are the following   noisy net is generic it is applied to   dqn and dueling agents,4,3,0.95946,The strengths of the proposed approach include the following: the noisy net is versatile and is applied to both DQN and dueling agents.,3,0.77708,4
877,in fact your hypotheses are not all that complex are they nor is figure   nestce pas,3,2,0.69825,"In fact, your hypotheses are not overly complex, are they? Nor is the figure, wouldn't you agree?",2,0.66792,2
182,was the white noise random,3,3,0.78135,Could you please clarify if the white noise was random?,5,0.81815,3
96,this is a pretty trivial study sample size is suspiciously high and the effect is tiny at   percent difference who cares if it is significant,2,2,0.7986,"This study appears to have a surprisingly large sample size, and the observed effect is rather small, with only a percent difference. It raises questions about the significance and relevance of the findings.",3,0.46913,2
2424,the authors have carefully addressed the reviewers comments the manuscript is acceptable for publication in international transactions on electrical energy systems,4,4,0.82112,"The authors have thoroughly addressed the reviewers' comments, and the manuscript is ready for publication in International Transactions on Electrical Energy Systems.",4,0.7879,5
1226,the   international conference on machine learning icml,3,3,0.87486,The International Conference on Machine Learning (ICML).,3,0.77516,3
487,to improve this you need to be more robust on all fronts etc,2,3,0.88278,"To enhance this, it would be beneficial to strengthen it on all fronts, etc.",4,0.53094,2
1581,at each layer a low rank constraint is enforced on the linear transformation while the cost function is specified in order to differentially account for the bounds of the predicted variables,3,3,0.94444,"In each layer, a low-rank constraint is applied to the linear transformation, while the cost function is designed to account for the differences in the bounds of the predicted variables.",3,0.91683,3
1196,authors show a good gain on two language modeling tasks cifar   and cifar,4,4,0.66569,The authors demonstrate significant improvements on two language modeling tasks: CIFAR and CIFAR.,4,0.77726,4
1306,i recommend rejection,2,2,0.55057,I suggest considering a rejection.,2,0.6473,2
1072,this paper views graph classification as image classification and shows that the cnn model adapted from image net can be effectively adapted to the graph classification,3,3,0.90203,"This paper considers graph classification in the context of image classification and demonstrates that the CNN model, adapted from ImageNet, can be successfully applied to graph classification.",3,0.78037,3
1181,are there plans to release the authors ill like to ask my lost time back,1,1,0.46215,Are there plans to release information about the authors? I'd like to express that I felt my time was not well spent.,2,0.64302,1
1874,for all tasks for which there is additional training theres a confound due to the dimensionality of the sentence embeddings across papers,3,3,0.93806,"For all tasks that involve additional training, there is a confounding factor related to the dimensionality of the sentence embeddings across various papers.",3,0.87721,3
1760,for other results on these datasets including stronger results in non fixed dimensional sentence embedding transfer settings see results and references in mc cann et al,3,3,0.95016,"For additional results on these datasets, including more robust outcomes in non-fixed dimensional sentence embedding transfer settings, kindly refer to the results and references mentioned in McCann et al.",5,0.40739,3
1946,the motivation is not sufficient and not well supported,3,3,0.72833,The motivation could benefit from additional support and clarity.,3,0.64798,2
947,the method does prove that the caffe reference model maintains some information that can be used for classification but this doesnt really suggest a generalizable method that we could confidently use for a variety of tasks,3,3,0.50958,"The method demonstrates that the Caffe reference model retains some information useful for classification; however, it does not strongly indicate a generalizable approach that we could confidently apply to a variety of tasks.",3,0.57793,3
2117,i had already absorbed the original notation and had to go back and forth to translate to the new one,2,2,0.54602,I had already familiarized myself with the original notation and found myself needing to frequently switch back and forth to understand the new one.,2,0.64116,2
2316,thank you for your resubmission this case report reads extremely well and will be a valuable addition tot he limited literature on the topic,5,5,0.8444,Thank you for resubmitting your case report. It is very well-written and will undoubtedly be a valuable addition to the limited literature available on this topic.,5,0.84314,5
2473,i have no further comment the manuscript looks fine,3,3,0.73224,I have no further comments; the manuscript appears to be in excellent shape.,3,0.45276,4
705,the sum total is frustration with what i can only call cavalier treatment of promising material,3,2,0.66323,The overall feeling is one of frustration with what I can only describe as a somewhat casual handling of promising material.,2,0.67166,2
1134,i would suggest to really add multi hidden layer to the multicolored outlook of yours,2,2,0.70906,I would kindly suggest considering the addition of multiple hidden layers to enhance the multicolored outlook of yours.,2,0.50535,3
1667,the min max layer selects the r min and max values which then enter the fc layers,3,3,0.95601,"The minimum and maximum layer selects the respective minimum and maximum values of r, which are then passed into the fully connected layers.",3,0.92779,3
1807,are the results obtained on the test set,3,3,0.95424,Could you please share the results obtained on the test set?,5,0.83517,3
2406,this is a comparison of japanese patients older than   or   receiving semaglutide the actual age difference is approximately ten years they would be well advised to perform age stratification to consider younger patients there was a higher incidence of saes in the semaglutide group   comapred to none in the dulaglutide group what is the reason for the differences,3,4,0.71955,"This comparison examines Japanese patients over a certain age receiving semaglutide, with the actual age difference being approximately ten years. It would be beneficial to perform age stratification to include younger patients. Notably, there was a higher incidence of serious adverse events in the semaglutide group compared to none in the dulaglutide group. Could you provide insight into the reasons for these differences?",4,0.60022,3
1597,however a disadvantage of the proposed method is that it is a two step approach first perform task clustering then re learn the cluster weights while   is not,3,3,0.94842,"One potential drawback of the proposed method is that it involves a two-step approach: first performing task clustering and then re-learning the cluster weights, which might not be as efficient.",3,0.83626,3
2057,that seems important to explain more thoroughly than is done in the current text,3,3,0.59825,It appears that this topic could benefit from a more detailed explanation than what is currently provided in the text.,3,0.65732,3
1729,it is a bit confusing,3,3,0.82881,It seems a little unclear.,3,0.55564,3
1268,sigma   in   is undefined was r t supposed to be following n   sigma   instead of written n   i,3,3,0.86182,"""Sigma in is undefined; was it supposed to follow 'n sigma' instead of being written as 'n i'?""",3,0.86219,2
1034,plaid masters several distinct tasks in sequence building up skills by learning related tasks of increasing difficulty,3,3,0.76521,"Plaid effectively manages several distinct tasks in sequence, skillfully building up abilities by learning related tasks of increasing complexity.",3,0.49799,4
422,preliminary and intriguing results that should be published elsewhere,2,4,0.74891,The preliminary and intriguing results would be well-suited for publication in another venue.,4,0.70737,3
1678,this paper also seems to have some problems of its own i expect the perturbation wouldnt work well on authors,2,2,0.74683,"This paper appears to have some challenges that could potentially impact its effectiveness, and I wonder how the perturbation might affect the authors.",2,0.67152,2
2127,i understand that there is no results in the test phase perhaps it would be useful to recall it,3,2,0.7769,I understand there are no results in the test phase; perhaps it would be helpful to consider revisiting this.,2,0.65856,3
285,claiming insights that rarely amount to very much beyond the bleeding obvious the problem with jargon is that any idiot can pick it up and have a go,1,1,0.7071,"While the insights may sometimes seem quite evident, the concern with jargon is that it can be adopted by anyone, regardless of their expertise or understanding.",3,0.45438,1
374,i really dont like to be harsh in my reviews but,3,2,0.75361,"I always strive to be constructive and considerate in my reviews, however,",4,0.43848,2
803,the length of this review is occasioned by the density of error and misconceived arguments in this manuscript as a service primarily to the authors i have decided to actually try to convey a sense of the extreme nature of the problems encumbering this submission,5,4,0.86499,"The length of this review reflects the complexity of errors and misunderstood arguments in the manuscript. With the intention of being helpful to the authors, I am striving to clearly communicate the significant issues present in this submission.",4,0.73792,2
1741,contrarily to what is stated in the introduction the loss functions proposed in page   first two formulas only accounts for the lower bound of the predicted variables,3,3,0.95039,"Contrary to what is stated in the introduction, the loss functions proposed in the first two formulas on the page account only for the lower bound of the predicted variables.",3,0.91301,2
1126,hence the novelty of this paper is limited to a bunch of fools,1,1,0.71916,"Hence, the novelty of this paper appears to be appreciated predominantly by a select audience.",3,0.6485,1
1963,originality and significance the area of relation extraction seems to me to be very important and probably a bit less intensively worked on that it should be,2,3,0.65895,"Originality and significance in the area of relation extraction appear to be very important and, in my opinion, may not be receiving as much attention as they deserve.",3,0.49192,4
1907,the paper is well written and motivated and the idea seems fairly original although the regularisation approach itself is not new,3,4,0.75695,"The paper is well-written and thoughtfully motivated, and the idea appears to be quite original, although the regularization approach itself is established.",4,0.7136,4
2400,the authors have finished the required revisions by the reviewers,4,4,0.80096,The authors have completed the revisions requested by the reviewers.,4,0.73237,4
2392,i congratulate the author for the work,5,5,0.57779,I would like to extend my congratulations to the author for their excellent work.,5,0.43278,5
1912,again i strongly suggest the authors to provide a complete mockery of himself,1,2,0.60069,"Once again, I would kindly recommend that the authors consider including a self-parody for a more comprehensive presentation.",4,0.44576,1
1536,the paper presents a novel view of gcn that interprets graph convolutions as integral transforms of embedding functions,3,3,0.69547,"The paper offers an innovative perspective on GCN, interpreting graph convolutions as integral transforms of embedding functions.",3,0.56555,4
1179,at the very least i would consider using regret to the model of the task and compute some quantiles on that which is still suspect in the matrix completion setting,3,2,0.70958,"At the very least, I suggest considering incorporating regret into the model of the task and computing some quantiles on that, which still appears to be somewhat uncertain in the matrix completion setting.",3,0.56657,2
2203,despite the authors claims the estimator does not come with any theoretical guarantees,3,3,0.90844,"Although the author claims otherwise, the estimator does not appear to have any theoretical guarantees.",3,0.6904,2
415,using the question in the first paragraph of the introduction is not functional in my opinion as are the words inner workings,3,3,0.68311,"In my opinion, incorporating a question in the first paragraph of the introduction may not be the most effective approach, and similarly, the phrase ""inner workings"" might not be the best choice.",3,0.57962,2
1513,overall the proposed methods seems to provide little added value to the large amount of predictive methods proposed so far for prediction in neurodegenerative disorders,4,4,0.63572,"Overall, the proposed method appears to offer limited additional value compared to the extensive array of predictive methods already available for neurodegenerative disorder prediction.",3,0.64477,2
816,i know you want to use hormones to study physiological changes but humans are more than hormones,1,2,0.77129,"I understand you're interested in studying physiological changes through hormones, but it's important to remember that humans are influenced by more than just hormones.",2,0.64186,2
2093,despite that the work is more application oriented the paper would have been stronger and more impactful if it includes more work on the theoretical side,4,4,0.63682,"Although the work is more application-oriented, the paper would benefit from including more work on the theoretical side to make it stronger and more impactful.",3,0.55652,4
222,this is such a promising topic but i was very disappointed in this paper combining a substantial amount of author talent,2,2,0.33592,"This is such a promising topic, and while I appreciate the substantial talent of the author, I felt somewhat disappointed with the paper.",4,0.32658,2
1469,the revision seems more cosmetic and does not address the most significant issues so i do not see a need to change my evaluation,3,3,0.53791,"The revision appears to focus more on surface changes and doesn't fully address the most significant issues, so I believe it's not necessary to alter my evaluation at this time.",3,0.52556,2
2434,the article has social and academic relevance on a topic that has not yet been investigated in the brazilian context this study provides data that contribute to the area in question and may contribute to future scientific interventions thus i believe that the changes made by the authors contributed to the theoretical and methodological improvement of the referred manuscript,4,4,0.81251,"The article is of significant social and academic relevance, as it addresses a topic that has not yet been thoroughly investigated within the Brazilian context. This study provides valuable data that contribute to the field and may inform future scientific interventions. Therefore, I believe that the revisions made by the authors have enhanced the theoretical and methodological aspects of the manuscript.",4,0.7935,5
2007,references henaff mikael arthur szlam and yann le cun,3,3,0.76961,"References include Henaff, Mikael Arthur Szlam, and Yann Le Cun.",3,0.72016,3
1004,also section   could be improved and simplified,3,3,0.90268,"Additionally, the section could be enhanced and streamlined.",3,0.72111,3
446,this result would be great if it were true,3,3,0.94599,This result would be wonderful if it proves to be accurate.,4,0.38852,2
1193,there is hardly any baseline compared in the paper,3,3,0.95534,It seems that the paper could benefit from a more detailed comparison of baselines.,3,0.66462,2
44,this is a heretofore unobserved result and is very interesting but is not novel,3,4,0.66289,"This is a previously unobserved result and is very interesting, though it may not be entirely novel.",4,0.59629,3
1289,i think further work is required perhaps expanding the search space to resolve the current limitations of automated architecture search,3,3,0.89092,"I believe it might be beneficial to consider further work, potentially expanding the search space, to address the current limitations of automated architecture search.",4,0.62728,4
2353,the author has addressed all my concerns in my earlier review,4,4,0.82091,The author has thoroughly addressed all the concerns I mentioned in my previous review.,4,0.78425,5
424,this sounds nice but in fact it is vague there are many instances of this kind of nicesounding vagueness,3,2,0.61727,"This sounds appealing, but it seems a bit unclear, as there are many instances of this kind of pleasant vagueness.",4,0.53953,2
2463,see attached document,3,3,0.92877,Please take a look at the attached document.,5,0.72659,3
1843,the authors train their system with the testdata included which leads to very different visualizations,4,4,0.70099,"The authors appear to have trained their system using the test data provided, resulting in notably different visualizations.",3,0.46713,2
1336,however there are several issues both in the approach and the current preliminary evaluation which unfortunately leads me to a reject score but the general idea of combining different specifications is quite promising,4,4,0.67804,"While I believe there are several aspects in both the approach and the current preliminary evaluation that require further attention, leading me to assign a lower score at this time, I find the general idea of combining different specifications to be quite promising.",4,0.64098,4
2397,a well written paper with arguments clearly constructed i did not find any typographical errors i have one suggestion on page   last line it says â€œthe other statistically significant variable in the model was number of meals per dayâ€ i think this point ought to be expanded upon presumably more meals decreases the tir and this is a further limitation of this kind of system,4,3,0.51421,"The paper is well-written with clearly constructed arguments, and I did not find any typographical errors. I have one suggestion: on the last line of page [number], it mentions ""the other statistically significant variable in the model was the number of meals per day."" I believe this point could be expanded upon, as it presumably indicates that more meals decrease the TIR. This could be seen as a further limitation of this type of system.",4,0.55373,4
1969,however in practice sampling is done from a uniform distribution over observed samples,3,3,0.95607,"In practice, sampling is commonly performed from a uniform distribution over the observed samples.",3,0.88528,3
2182,the main results of the paper stem from a combination of a few ideas that were ripe for combination,3,3,0.79952,The main findings of the paper arise from a thoughtful integration of several ideas that were ready to be combined.,3,0.5837,3
2232,this paper shows an optimal rate for the nonergodic sequence governed by the augmented lagrangian this is theoretically an interesting result the numerical illustration for the squareroot lasso looks to be good but in the squareroot elastic net problem it seems that the chambollepock decreases stably while napala seems to be flatter,4,3,0.86875,"This paper demonstrates an optimal rate for the nonergodic sequence governed by the augmented Lagrangian, presenting a theoretically intriguing result. The numerical illustration for the square-root lasso appears impressive; however, in the square-root elastic net problem, the Chambolle-Pock method seems to decrease more steadily, while the NAPALA method appears relatively flatter.",3,0.64916,4
481,in my view the manuscript provides a relatively superficial summary of the area which lacks any attempt at interpretation or novelty it is adequate only as a light topical treatment for a broad audience,3,4,0.82831,"In my opinion, the manuscript offers a broad overview of the area; however, it would benefit from deeper analysis and originality. It serves as a suitable introduction for a general audience.",4,0.75282,2
2177,and propose a challenge that addresses these issues and allows controlling different aspects of image variability,3,3,0.73688,Could you please propose a challenge that addresses these issues while allowing for the control of various aspects of image variability?,5,0.84261,3
2351,thank you for making all the reqested alternations to your text there was one point which i raised which you dont seem to have addressed i asked if the data was normally distributed and how this was determined please can you add this in to your statistics section of the methods if the data is not normally distributed then you will need to use an alternative statistical method to analyse it thank you,5,5,0.84783,"Thank you for making all the requested alterations to your text. There's just one point I raised that may need further attention regarding how the data distribution was assessed. Could you please address whether the data was normally distributed and how this was determined in the statistics section of the methods? If the data is not normally distributed, an alternative statistical method might be required for analysis. Thank you!",5,0.84935,4
